# 1.16.2 VA	name	source bd memory	claimed 1.17 VA (from memory, "-" if none)
0x1403c8c40	ChrCtrl::UpdateAi	npc-possess-1170-verified-call-addresses	0x1403c8c50
0x140492cb0	ChrSet::SpawnSummonBuddy	npc-possess-1170-verified-call-addresses	0x140493210
0x140403a60	ChrInsFactory::CreateCharacter	npc-possess-1170-verified-call-addresses	0x140403dd0
0x14050a570	WorldChrManImp::RemoveChrIns	npc-possess-1170-verified-call-addresses	0x14050b340
0x1404cd710	EneDatMan acquire FUN_1404cd710	npc-possess-1170-verified-call-addresses	0x1404ce4e0
0x1404cd870	EneDatMan release FUN_1404cd870	npc-possess-1170-verified-call-addresses	0x1404ce640
0x1403ef830	ChrIns::GetEneDat	npc-possess-1170-verified-call-addresses	0x1403efa60
0x14048c310	ChrRes ctor	npc-possess-1170-verified-call-addresses	-
0x140303ec0	CSAiFunc::TurnTo	npc-possess-architecture-settled	-
0x14043aa30	CSChrEventModule::RequestAnimation	npc-possess-architecture-settled	-
0x1403cf340	ComManipulator::UpdateAI (vft+0x48)	npc-possess-architecture-settled	-
0x1403cf2a0	ComManipulator tick (vft+0x50)	npc-possess-architecture-settled	-
0x1403d0250	FUN_1403d0250 UpdateMovement	npc-possess-architecture-settled	-
0x1403c7800	ChrCtrl::ShouldUpdateAi	npc-possess-architecture-settled	-
0x1403c8da0	ChrCtrl tick dispatcher	manipulator-tick-slot50-caller	0x1403c8db0
0x1404016d0	ChrIns::Update	manipulator-tick-slot50-caller	0x140401a30
0x140400960	ChrIns::UpdateAiLogic	chrctrl-updateai-chrmanipulator-override	-
0x1403c52a0	ChrCtrl::Unref	npc-possess-architecture-settled	-
0x1403c4d50	ChrCtrl ctor	npc-possess-architecture-settled	-
0x1403d8660	PadManipulator ctor	npc-possess-architecture-settled	-
0x1403d88a0	PadManipulator dtor FUN_1403d88a0	manipulator-tick-slot50-caller	-
0x1403c6f40	ChrCtrl::GetManipulator	chrctrl-updateai-chrmanipulator-override	-
0x1404d0c30	EnemyIns vft+0x88 Update	manipulator-tick-slot50-caller	0x1404d1a00
0x140660120	PlayerIns vft+0x88 Update	manipulator-tick-slot50-caller	0x140660f70
0x1403cda90	PadManipulator vft+0x48 base-noop	chrctrl-updateai-chrmanipulator-override	-
0x1403d9f20	PadManipulator vft+0x50	chrctrl-updateai-chrmanipulator-override	-
0x1403daa80	PadManipulator tick FUN_1403daa80	chrctrl-updateai-chrmanipulator-override	-
0x1403d4280	NetAIManipulator vft+0x48	chrctrl-updateai-chrmanipulator-override	-
0x1403d3b00	NetAIManipulator vft+0x50	chrctrl-updateai-chrmanipulator-override	-
0x1403e08f0	RideManipulator vft+0x50	chrctrl-updateai-chrmanipulator-override	-
0x140406d40	CSChrActionRequestModule	chrctrl-updateai-chrmanipulator-override	-
0x140407c60	CSChrActionRequestModule::UpdateFromManipulator	chrctrl-updateai-chrmanipulator-override	-
0x140507ff0	WorldChrManImp::GetMainPlayerIns	possession-camoverridechrins	0x140508dc0
0x1403f4040	PlayerIns::IsMainPlayerIns	possession-camoverridechrins	0x1403f4270
0x1403b11c0	ChrCam::Update	possession-camoverridechrins	0x1403b11d0
0x14067a7a0	GameMan::SetCamZoomSimpleLerp	possession-camoverridechrins	0x14067b5f0
0x140716260	LockTgtMan per-frame update FUN_140716260	possession-camoverridechrins	-
0x140508050	GetMainPlayerInsOrMount FUN_140508050	possession-camoverridechrins	-
