# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403c8c40	0x1403c8c50	+0x10	unique, 40B signature, 26B fixed
0x140492cb0	0x140493210	+0x560	unique, 41B signature, 28B fixed
0x140403a60	0x140403dd0	+0x370	unique, 42B signature, 27B fixed
0x14050a570	0x14050b340	+0xdd0	unique, 42B signature, 30B fixed
0x1404cd710	0x1404ce4e0	+0xdd0	unique, 40B signature, 32B fixed
0x1404cd870	0x1404ce640	+0xdd0	unique, 42B signature, 33B fixed
0x1403ef830	0x1403efa60	+0x230	unique, 39B signature, 27B fixed
0x14048c310	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x560)
0x140303ec0	0x140303ed0	+0x10	nearest-anchor delta +0x10, 9 shape candidates
0x14043aa30	0x14043af90	+0x560	unique, 42B signature, 27B fixed
0x1403cf340	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cf2a0	0x1403cf2b0	+0x10	unique, 42B signature, 26B fixed
0x1403d0250	0x1403d0260	+0x10	nearest-anchor delta +0x10, 9 shape candidates
0x1403c7800	0x1403c7810	+0x10	unique, 40B signature, 27B fixed
0x1403c8da0	0x1403c8db0	+0x10	unique, 41B signature, 31B fixed
0x1404016d0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x360)
0x140400960	0x140400c50	+0x2f0	unique, 14B signature, 8B fixed
0x1403c52a0	0x1403c52b0	+0x10	nearest-anchor delta +0x10, 9 shape candidates
0x1403c4d50	0x1403c4d60	+0x10	unique, 44B signature, 29B fixed
0x1403d8660	0x1403d8670	+0x10	unique, 40B signature, 27B fixed
0x1403d88a0	0x1403d88b0	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403c6f40	0x1403c6f50	+0x10	unique, 17B signature, 11B fixed
0x1404d0c30	0x1404d1a00	+0xdd0	unique, 40B signature, 27B fixed
0x140660120	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1403cda90	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d9f20	0x1403d9f30	+0x10	unique, 42B signature, 29B fixed
0x1403daa80	0x1403daa90	+0x10	nearest-anchor delta +0x10, 3 shape candidates
0x1403d4280	0x1403d4290	+0x10	unique, 42B signature, 27B fixed
0x1403d3b00	0x1403d3b10	+0x10	nearest-anchor delta +0x10, 3 shape candidates
0x1403e08f0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x10)
0x140406d40	0x140407270	+0x530	nearest-anchor delta +0x530, 9 shape candidates
0x140407c60	0x140408190	+0x530	unique, 42B signature, 36B fixed
0x140507ff0	0x140508dc0	+0xdd0	unique, 42B signature, 29B fixed
0x1403f4040	0x1403f4270	+0x230	unique, 41B signature, 26B fixed
0x1403b11c0	0x1403b11d0	+0x10	unique, 40B signature, 29B fixed
0x14067a7a0	0x14067b5f0	+0xe50	unique, 22B signature, 15B fixed
0x140716260	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140508050	0x140508e20	+0xdd0	unique, 41B signature, 28B fixed
0x1403b5ac0	0x1403b5ad0	+0x10	unique, 40B signature, 24B fixed
0x140affe40	0x140b012d0	+0x1490	unique, 41B signature, 32B fixed
0x14065a330	-	-	UNRESOLVED: 2 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140659eb0	0x14065ad00	+0xe50	nearest-anchor delta +0xe50, 2 shape candidates
0x1405110e0	0x140511ee0	+0xe00	unique, 46B signature, 30B fixed
0x140df35f7	-	-	UNRESOLVED: 8 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140513210	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0xe00)
0x140492e20	0x140493380	+0x560	unique, 41B signature, 29B fixed
0x140492a90	0x140492ff0	+0x560	nearest-anchor delta +0x560, 2 shape candidates
0x140493140	0x1404936a0	+0x560	unique, 42B signature, 29B fixed
0x1404942a0	0x140494800	+0x560	nearest-anchor delta +0x560, 9 shape candidates
0x1404ba980	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140494440	0x1404949a0	+0x560	nearest-anchor delta +0x560, 3 shape candidates
0x1403e6e00	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140402800	0x140402b70	+0x370	unique, 43B signature, 38B fixed
0x14048dc10	0x14048e170	+0x560	unique, 45B signature, 31B fixed
0x1404caaf0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0xdd0)
0x1404cd460	0x1404ce230	+0xdd0	unique, 33B signature, 19B fixed
0x1403e5bc0	-	-	UNRESOLVED: 3 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1403e62f0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1404cdcc0	0x1404cea90	+0xdd0	unique, 41B signature, 19B fixed
0x140494a50	0x140494fb0	+0x560	unique, 40B signature, 28B fixed
0x140e76ea0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140433fe0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x560)
0x1403f2a90	0x1403f2cc0	+0x230	nearest-anchor delta +0x230, 2 shape candidates
0x1404032d0	0x140403640	+0x370	nearest-anchor delta +0x370, 9 shape candidates
0x1404032e0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x370)
0x1404ce0a0	0x1404cee70	+0xdd0	nearest-anchor delta +0xdd0, 2 shape candidates
0x1403f2470	0x1403f26a0	+0x230	nearest-anchor delta +0x230, 2 shape candidates
0x14048fbf0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x560)
0x140506f30	0x140507d00	+0xdd0	nearest-anchor delta +0xdd0, 2 shape candidates
0x140494f50	0x1404954b0	+0x560	nearest-anchor delta +0x560, 3 shape candidates
0x1405ee180	0x1405eefd0	+0xe50	unique, 45B signature, 33B fixed
0x1403f73e0	0x1403f7610	+0x230	unique, 17B signature, 13B fixed
0x14050e1a0	0x14050efa0	+0xe00	unique, 46B signature, 30B fixed
0x140e9ce30	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1403ef730	0x1403ef960	+0x230	unique, 42B signature, 23B fixed
0x1403c8610	0x1403c8620	+0x10	unique, 41B signature, 28B fixed
0x1403cd180	0x1403cd190	+0x10	unique, 46B signature, 28B fixed
0x14045f910	0x14045fe70	+0x560	unique, 34B signature, 20B fixed
0x14045f7a0	0x14045fd00	+0x560	unique, 43B signature, 31B fixed
0x140461a00	0x140461f60	+0x560	unique, 47B signature, 34B fixed
0x140454c00	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140c456b0	0x140c46d80	+0x16d0	unique, 42B signature, 31B fixed
0x1403da750	0x1403da760	+0x10	unique, 43B signature, 28B fixed
0x1403f0bf0	0x1403f0e20	+0x230	nearest-anchor delta +0x230, 9 shape candidates
0x140679630	0x14067a480	+0xe50	nearest-anchor delta +0xe50, 9 shape candidates
0x14061e270	0x14061f0c0	+0xe50	unique, 40B signature, 29B fixed
0x1404e9ad0	0x1404ea8a0	+0xdd0	unique, 30B signature, 21B fixed
0x1403d99e0	0x1403d99f0	+0x10	unique, 41B signature, 26B fixed
0x1403d9bb0	0x1403d9bc0	+0x10	nearest-anchor delta +0x10, 9 shape candidates
0x140c9f430	0x140ca0b00	+0x16d0	unique, 44B signature, 30B fixed
0x140c9f770	0x140ca0e40	+0x16d0	unique, 44B signature, 28B fixed
0x1403cd370	0x1403cd380	+0x10	unique, 45B signature, 25B fixed
0x1403c76d0	0x1403c76e0	+0x10	unique, 41B signature, 30B fixed
0x1404e8060	0x1404e8e30	+0xdd0	unique, 46B signature, 33B fixed
0x1404e5860	0x1404e6630	+0xdd0	unique, 41B signature, 31B fixed
0x1404e4d20	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0xdd0)
0x140474550	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140509f90	0x14050ad60	+0xdd0	nearest-anchor delta +0xdd0, 4 shape candidates
0x1404275e0	0x140427b30	+0x550	unique, 40B signature, 35B fixed
0x140425ba0	0x1404260f0	+0x550	unique, 43B signature, 33B fixed
0x1403f3b90	0x1403f3dc0	+0x230	unique, 40B signature, 26B fixed
0x1404483b0	0x140448910	+0x560	unique, 40B signature, 29B fixed
0x140656e60	0x140657cb0	+0xe50	nearest-anchor delta +0xe50, 3 shape candidates
0x140401bd0	0x140401f30	+0x360	unique, 45B signature, 25B fixed
0x140405b80	0x1404060b0	+0x530	unique, 41B signature, 30B fixed
0x140430960	0x140430eb0	+0x550	unique, 40B signature, 30B fixed
0x14041b740	0x14041bc70	+0x530	unique, 43B signature, 34B fixed
0x140c14370	0x140c15a40	+0x16d0	unique, 40B signature, 30B fixed
0x1404266d0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x550)
0x140426e60	0x1404273b0	+0x550	unique, 41B signature, 24B fixed
0x1404269e0	0x140426f30	+0x550	unique, 40B signature, 29B fixed
0x140429db0	0x14042a300	+0x550	nearest-anchor delta +0x550, 9 shape candidates
0x140426ca0	0x1404271f0	+0x550	unique, 41B signature, 27B fixed
0x14042f150	0x14042f6a0	+0x550	unique, 44B signature, 25B fixed
0x1404cf040	0x1404cfe10	+0xdd0	unique, 42B signature, 29B fixed
0x1403e9380	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4b90	0x1403f4dc0	+0x230	nearest-anchor delta +0x230, 3 shape candidates
0x140652280	0x1406530d0	+0xe50	unique, 40B signature, 30B fixed
0x140d24130	0x140d25840	+0x1710	unique, 41B signature, 31B fixed
0x140d240e0	0x140d257f0	+0x1710	unique, 34B signature, 26B fixed
