# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x140397a70	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140397a80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1403cd480	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd490	0x1403cd4a0	+0x10	nearest-anchor delta +0x10, 246 shape candidates
0x1403cd4a0	0x1403cd4b0	+0x10	nearest-anchor delta +0x10, 246 shape candidates
0x1403cd4b0	0x1403cd4c0	+0x10	nearest-anchor delta +0x10, 246 shape candidates
0x1403cd500	0x1403cd510	+0x10	nearest-anchor delta +0x10, 2 shape candidates
0x1403cd570	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd670	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd680	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd6b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd790	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd7a0	0x1403cd7b0	+0x10	nearest-anchor delta +0x10, 44 shape candidates
0x1403cd7b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd7d0	0x1403cd7e0	+0x10	nearest-anchor delta +0x10, 18 shape candidates
0x1403cd7e0	0x1403cd7f0	+0x10	nearest-anchor delta +0x10, 204 shape candidates
0x1403cd7f0	0x1403cd800	+0x10	nearest-anchor delta +0x10, 6 shape candidates
0x1403cd810	0x1403cd820	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403cd820	0x1403cd830	+0x10	nearest-anchor delta +0x10, 503 shape candidates
0x1403cd830	0x1403cd840	+0x10	nearest-anchor delta +0x10, 18 shape candidates
0x1403cd840	0x1403cd850	+0x10	nearest-anchor delta +0x10, 5 shape candidates
0x1403cd8a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd8c0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd8d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd8e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd8f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd900	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd910	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd930	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd940	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd950	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd960	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd970	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd980	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd990	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd9a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd9b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd9c0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd9d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cd9e0	0x1403cd9f0	+0x10	unique, 35B signature, 23B fixed
0x1403cda10	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cda20	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cda30	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cda50	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cda60	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403cda80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
