# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x141eb97a0	-	-	UNRESOLVED: 4 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x14025f8e0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1408757e0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1408752c0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140951220	0x1409523c0	+0x11a0	unique, 47B signature, 26B fixed
0x14223a130	0x14223c8c0	+0x2790	unique, 41B signature, 29B fixed
0x1409b2f00	0x1409b4150	+0x1250	unique, 42B signature, 22B fixed
0x140d844d0	0x140d86210	+0x1d40	unique, 40B signature, 27B fixed
0x14081f8d0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x14074a700	0x14074b550	+0xe50	nearest-anchor delta +0xe50, 7 shape candidates
0x1409b2db0	0x1409b4000	+0x1250	nearest-anchor delta +0x1250, 2 shape candidates
0x14090a300	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1409aa680	0x1409ab820	+0x11a0	unique, 41B signature, 28B fixed
0x1407451c0	0x140746010	+0xe50	unique, 29B signature, 22B fixed
0x1409a62c0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x11a0)
0x14083ac60	0x14083bc50	+0xff0	unique, 40B signature, 27B fixed
0x140ec9530	0x140ecb330	+0x1e00	unique, 40B signature, 30B fixed
0x140744dd0	0x140745c20	+0xe50	unique, 40B signature, 22B fixed
0x14082cb00	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x14081f9f0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x14074a2f0	0x14074b140	+0xe50	unique, 45B signature, 29B fixed
0x1409a6180	0x1409a7320	+0x11a0	unique, 40B signature, 28B fixed
0x1409b6070	0x1409b72c0	+0x1250	nearest-anchor delta +0x1250, 2 shape candidates
0x140eb5570	0x140eb7370	+0x1e00	unique, 42B signature, 31B fixed
0x1409b6140	0x1409b7390	+0x1250	nearest-anchor delta +0x1250, 4 shape candidates
0x140b0e180	0x140b0f820	+0x16a0	unique, 29B signature, 16B fixed
0x1409b49f0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x1250)
0x1411a8870	0x1411aa670	+0x1e00	unique, 41B signature, 23B fixed
0x1409b72b0	0x1409b8500	+0x1250	unique, 27B signature, 18B fixed
0x1409b6b30	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x1250)
0x1411a8900	0x1411aa700	+0x1e00	unique, 41B signature, 26B fixed
0x1409b5970	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x1250)
0x1407ac720	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0xe80)
0x1407ada40	0x1407ae8c0	+0xe80	unique, 42B signature, 24B fixed
0x140d78630	0x140d7a370	+0x1d40	unique, 41B signature, 33B fixed
0x140d3ed90	0x140d404e0	+0x1750	unique, 40B signature, 28B fixed
0x1411ced80	0x1411d0b80	+0x1e00	unique, 41B signature, 32B fixed
0x14116a910	0x14116c710	+0x1e00	unique, 40B signature, 28B fixed
0x141aeae60	0x141aecc60	+0x1e00	unique, 41B signature, 31B fixed
0x141b3bda0	0x141b3dba0	+0x1e00	unique, 42B signature, 34B fixed
0x140733ef0	0x140734d40	+0xe50	unique, 21B signature, 17B fixed
0x1407633d0	0x140764220	+0xe50	unique, 40B signature, 30B fixed
0x140961640	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1409610d0	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1409749f0	0x140975b90	+0x11a0	unique, 42B signature, 26B fixed
0x14067a3a0	0x14067b1f0	+0xe50	unique, 41B signature, 17B fixed
0x1409a4670	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (+0x11a0)
0x1409a4d90	0x1409a5f30	+0x11a0	unique, 43B signature, 27B fixed
0x140826d50	-	-	UNRESOLVED: 6 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140875590	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140920c90	-	-	UNRESOLVED: 9 shape matches, none at the nearest anchor's delta (no anchor nearby)
