# 1.16.2 VA	1.17 VA	delta	method-or-error
0x140772a80	0x140773900	+0xe80	caller-rel32
0x140771bd0	0x140772a50	+0xe80	unique-40B
0x140437280	0x1404377e0	+0x560	caller-rel32
0x1404372c0	0x140437820	+0x560	caller-rel32
0x140437140	0x1404376a0	+0x560	vtable-slot3
0x140437150	0x1404376b0	+0x560	vtable-slot4
0x140437ac0	0x140438020	+0x560	nearest-anchor
0x140437bc0	0x140438120	+0x560	nearest-anchor
0x140438a50	0x140438fb0	+0x560	unique-40B
0x1404ce0a0	0x1404cee70	+0xdd0	sole-caller
0x1404c4ef0	0x1404c5880	+0x990	unique-bytes
0x14045f910	0x14045fe70	+0x560	unique-bytes
0x14045f7a0	0x14045fd00	+0x560	nearest-anchor
0x14045f720	0x14045fc80	+0x560	nearest-anchor
0x140461a00	0x140461f60	+0x560	callee-rel32
0x140463a40	0x140463fa0	+0x560	callee-rel32
0x14050a570	0x14050b340	+0xdd0	nearest-anchor
0x14041bce0	0x14041c220	+0x540	unique-24B
0x140406d40	0x140407270	+0x530	nearest-anchor
0x140407c60	0x140408190	+0x530	unique-42B
0x1403daa80	0x1403daa90	+0x10	topology
0x1402d3840	0x1402d3850	+0x10	unique-bytes
0x1403cdbb0	0x1403cdbc0	+0x10	unique-bytes
